README.mdiso3;year;month;fatalities
ARE;2005;12;
ARE;2006;1;
ARE;2006;2;
ARE;2006;3;
ARE;2006;4;
ARE;2006;5;
ARE;2006;6;
ARE;2006;7;
ARE;2006;8;
ARE;2006;9;
ARE;2006;10;
ARE;2006;11;
ARE;2006;12;
ARE;2007;1;
ARE;2007;2;
ARE;2007;3;
ARE;2007;4;
ARE;2007;5;
ARE;2007;6;
ARE;2007;7;
ARE;2007;8;
ARE;2007;9;
ARE;2007;10;
ARE;2007;11;
ARE;2007;12;
ARE;2008;1;
ARE;2008;2;
ARE;2008;3;
ARE;2008;4;
ARE;2008;5;
ARE;2008;6;
ARE;2008;7;
ARE;2008;8;
ARE;2008;9;
ARE;2008;10;
ARE;2008;11;
ARE;2008;12;
ARE;2009;1;
ARE;2009;2;
ARE;2009;3;
ARE;2009;4;
ARE;2009;5;
ARE;2009;6;
ARE;2009;7;
ARE;2009;8;
ARE;2009;9;
ARE;2009;10;
ARE;2009;11;
ARE;2009;12;
ARE;2010;1;1.0
ARE;2010;2;
ARE;2010;3;
ARE;2010;4;
ARE;2010;5;
ARE;2010;6;
ARE;2010;7;
ARE;2010;8;
ARE;2010;9;
ARE;2010;10;
ARE;2010;11;
ARE;2010;12;
ARE;2011;1;
ARE;2011;2;
ARE;2011;3;
ARE;2011;4;
ARE;2011;5;
ARE;2011;6;
ARE;2011;7;
ARE;2011;8;
ARE;2011;9;
ARE;2011;10;
ARE;2011;11;
ARE;2011;12;
ARE;2012;1;
ARE;2012;2;
ARE;2012;3;
ARE;2012;4;
ARE;2012;5;
ARE;2012;6;
ARE;2012;7;
ARE;2012;8;
ARE;2012;9;
ARE;2012;10;
ARE;2012;11;
ARE;2012;12;
ARE;2013;1;
ARE;2013;2;
ARE;2013;3;
ARE;2013;4;
ARE;2013;5;
ARE;2013;6;
ARE;2013;7;
ARE;2013;8;
ARE;2013;9;
ARE;2013;10;
ARE;2013;11;
ARE;2013;12;
ARE;2014;1;
ARE;2014;2;
ARE;2014;3;
ARE;2014;4;
ARE;2014;5;
ARE;2014;6;
ARE;2014;7;
ARE;2014;8;
ARE;2014;9;
ARE;2014;10;
ARE;2014;11;
ARE;2014;12;
ARE;2015;1;
ARE;2015;2;
ARE;2015;3;
ARE;2015;4;
ARE;2015;5;
ARE;2015;6;
ARE;2015;7;
ARE;2015;8;
ARE;2015;9;
ARE;2015;10;
ARE;2015;11;
ARE;2015;12;
ARE;2016;1;
ARE;2016;2;
ARE;2016;3;
ARE;2016;4;
ARE;2016;5;
ARE;2016;6;
ARE;2016;7;
ARE;2016;8;
ARE;2016;9;
ARE;2016;10;
ARE;2016;11;
ARE;2016;12;
ARE;2017;1;
ARE;2017;2;
ARE;2017;3;
ARE;2017;4;
ARE;2017;5;
ARE;2017;6;
ARE;2017;7;
ARE;2017;8;
ARE;2017;9;
ARE;2017;10;
ARE;2017;11;
ARE;2017;12;
ARE;2018;1;
ARE;2018;2;
ARE;2018;3;
ARE;2018;4;
ARE;2018;5;
ARE;2018;6;
ARE;2018;7;
ARE;2018;8;
ARE;2018;9;
ARE;2018;10;
ARE;2018;11;
ARE;2018;12;
ARE;2019;1;
ARE;2019;2;
ARE;2019;3;
ARE;2019;4;
ARE;2019;5;
ARE;2019;6;
ARE;2019;7;
ARE;2019;8;
ARE;2019;9;
ARE;2019;10;
ARE;2019;11;
ARE;2019;12;
ARE;2020;1;
ARE;2020;2;
ARE;2020;3;
ARE;2020;4;
ARE;2020;5;
ARE;2020;6;
ARE;2020;7;
ARE;2020;8;
ARE;2020;9;
ARE;2020;10;
ARE;2020;11;
ARE;2020;12;
ARE;2021;1;
ARE;2021;2;
ARE;2021;3;
ARE;2021;4;
ARE;2021;5;
ARE;2021;6;
ARE;2021;7;
ARE;2021;8;
ARE;2021;9;
ARE;2021;10;
ARE;2021;11;
ARE;2021;12;
ARM;2003;8;
ARM;2003;9;
ARM;2003;10;
ARM;2003;11;
ARM;2003;12;
ARM;2004;1;
ARM;2004;2;
ARM;2004;3;
ARM;2004;4;
ARM;2004;5;
ARM;2004;6;
ARM;2004;7;
ARM;2004;8;
ARM;2004;9;
ARM;2004;10;
ARM;2004;11;
ARM;2004;12;
ARM;2005;1;
ARM;2005;2;
ARM;2005;3;1.0
ARM;2005;4;
ARM;2005;5;
ARM;2005;6;
ARM;2005;7;
ARM;2005;8;
